"time","y"
"Nov 2019",0.3483
"Dec 2019",0.3714
"Jan 2020",0.3733
"Feb 2020",0.4441
"Mar 2020",0.3793
"Apr 2020",0.3967
"May 2020",0.5881
"Jun 2020",0.8464
"Jul 2020",0.9135
"Aug 2020",0.8222
"Sep 2020",0.6591
"Oct 2020",0.2888
"Nov 2020",0.7873
"Dec 2020",0.4382
"Jan 2021",0.5103
"Feb 2021",0.4224
"Mar 2021",0.3347
"Apr 2021",0.4086
"May 2021",0.5427
"Jun 2021",0.6653
"Jul 2021",0.7056
"Aug 2021",0.6991
"Sep 2021",0.5714
"Oct 2021",0.8332
"Nov 2021",0.6024
"Dec 2021",0.59
"Jan 2022",0.5142
"Feb 2022",0.5943
"Mar 2022",0.7568
"Apr 2022",0.9383
"May 2022",0.9679
"Jun 2022",0.9518
"Jul 2022",0.8687
"Aug 2022",0.8577
"Sep 2022",0.8509
"Oct 2022",0.8245
"Nov 2022",0.3967
"Dec 2022",0.5633
"Jan 2023",0.3928
"Feb 2023",0.4962
"Mar 2023",0.5286
"Apr 2023",0.472
"May 2023",0.9203
"Jun 2023",0.9225
"Jul 2023",0.9315
"Aug 2023",0.8509
"Sep 2023",0.8354
"Oct 2023",0.7442
"Nov 2023",0.5063
"Dec 2023",0.472
"Jan 2024",0.5345
